Component,Group,Parameter,Value
WingGeom,XForm,Abs_Or_Relitive_flag,1.0
WingGeom,XForm,Last_Scale,1.0
WingGeom,XForm,Origin,0.0
WingGeom,XForm,Scale,1.0
WingGeom,XForm,X_Location,0.46
WingGeom,XForm,X_Rel_Location,0.46
WingGeom,XForm,X_Rel_Rotation,0.0
WingGeom,XForm,X_Rotation,0.0
WingGeom,XForm,Y_Location,0.0
WingGeom,XForm,Y_Rel_Location,0.0
WingGeom,XForm,Y_Rel_Rotation,3.0
WingGeom,XForm,Y_Rotation,3.0
WingGeom,XForm,Z_Location,0.853
WingGeom,XForm,Z_Rel_Location,0.853
WingGeom,XForm,Z_Rel_Rotation,0.0
WingGeom,XForm,Z_Rotation,0.0
WingGeom,Sym,Sym_Ancestor,1.0
WingGeom,Sym,Sym_Ancestor_Origin_Flag,1.0
WingGeom,Sym,Sym_Axial_Flag,0.0
WingGeom,Sym,Sym_Planar_Flag,2.0
WingGeom,Sym,Sym_Rot_N,2.0
WingGeom,Attach,Eta_Attach_Location,0.0
WingGeom,Attach,L_01,1.0
WingGeom,Attach,L_Attach_Location,0.0
WingGeom,Attach,L_Attach_Location0Len,0.0
WingGeom,Attach,M_Attach_Location,0.5
WingGeom,Attach,N_Attach_Location,0.5
WingGeom,Attach,R_01,1.0
WingGeom,Attach,R_Attach_Location,0.0
WingGeom,Attach,R_Attach_Location0N,0.0
WingGeom,Attach,Rots_Attach_Flag,0.0
WingGeom,Attach,S_Attach_Location,0.5
WingGeom,Attach,T_Attach_Location,0.5
WingGeom,Attach,Trans_Attach_Flag,0.0
WingGeom,Attach,U_01,1.0
WingGeom,Attach,U_Attach_Location,0.0
WingGeom,Attach,U_Attach_Location0N,0.0
WingGeom,Attach,V_Attach_Location,0.0
WingGeom,Shape,Tess_U,16.0
WingGeom,Shape,Tess_W,33.0
WingGeom,Shape,Wake,0.0
WingGeom,Negative_Volume_Props,Negative_Volume_Flag,0.0
WingGeom,WakeSettings,WakeAngle,0.0
WingGeom,WakeSettings,WakeScale,2.0
WingGeom,Mass_Props,CGx,0.15469
WingGeom,Mass_Props,CGy,0.0
WingGeom,Mass_Props,CGz,0.0
WingGeom,Mass_Props,Density,0.0
WingGeom,Mass_Props,Ixx,0.0
WingGeom,Mass_Props,Ixy,0.0
WingGeom,Mass_Props,Ixz,0.0
WingGeom,Mass_Props,Iyy,0.0
WingGeom,Mass_Props,Iyz,0.0
WingGeom,Mass_Props,Izz,0.0
WingGeom,Mass_Props,Mass_Area,0.0
WingGeom,Mass_Props,Mass_Prior,0.0
WingGeom,Mass_Props,PointMass,1.3
WingGeom,Mass_Props,Shell_Flag,0.0
WingGeom,WingGeom,CorrectAirfoilthicknessFlag,1.0
WingGeom,WingGeom,CurvedArea,0.9799999999999999
WingGeom,WingGeom,LECluster,0.25
WingGeom,WingGeom,MAC,0.35000000000000014
WingGeom,WingGeom,MaxGrowth,1.4370057560838392
WingGeom,WingGeom,RelativeDihedralFlag,0.0
WingGeom,WingGeom,RelativeTwistFlag,0.0
WingGeom,WingGeom,RotateAirfoilMatchDideralFlag,0.0
